단어,빈도수
방안,9
취재원,9
청년,9
내용,9
옛날,9
대가,9
절,9
보아,9
장인,9
도록,9
운전,9
잡,9
나신,9
봄날,9
배경,9
거부,9
계산,9
함부로,9
양말,9
발끝,9
실망,9
담,9
로비,9
나선,9
서너,9
척,9
자연,9
며칠,9
끝내,9
살의,9
맞은편,9
일도,9
개월,9
아가씨,9
지방,9
웃,9
무곡,9
형,9
신고,9
인내,9
토우,9
말로,9
묵,9
제주도,9
예감,9
장작,9
갱지,9
작품,9
과장,9
고속버스,9
친,9
커튼,9
종이,9
질끈,9
인지도,9
부터,9
전체,9
밀,9
높이,9
놀림,9
자식,9
여섯,9
칠,9
화가,9
공,9
것일,9
낼,9
눈밭,9
단서,9
찰나,9
단호,9
위치,9
더군다나,9
걸터,9
한잔,9
검,9
욕설,9
기회,8
분간,8
대문,8
호흡,8
노파,8
저희,8
구덩이,8
충격,8
셔터,8
월급,8
옷장,8
초꽃,8
반면,8
한참,8
겨드랑이,8
간혹,8
매달,8
방울,8
잘못,8
절대로,8
출입문,8
허물,8
철,8
중반,8
작업복,8
여인숙,8
얼음,8
열시,8
또렷,8
육,8
혹시,8
운동화,8
꼬리,8
른,8
검정고시,8
고등학교,8
열기,8
필사,8
출구,8
이기,8
검지,8
유리창,8
인도,8
엉망,8
블록,8
더구나,8
종종,8
등뒤,8
벨,8
미리,8
주지,8
사무,8
마디,8
염색,8
매미,8
타인,8
속도,8
밀고,8
킬로미터,8
뜻밖,8
와락,8
숨소리,8
느티나무,8
등록증,8
낯,8
무늬,8
아주머니,8
동시,8
끌,8
여기저기,8
아가,8
우뚝,8
환멸,8
소매,8
손목,8
차선,8
골,8
이전,8
조,8
중심,8
지역,8
나라,8
체,8
인제,8
일주일,8
질주,8
기어,8
놀란,8
뼈,8
어가,8
세번,8
가운,8
도저히,8
월세,8
연탄,8
확신,8
텔레비전,8
마련,8
수면,8
몸집,8
달리기,8
연기,8
오리,8
가파른,8
내지,8
황성,8
꼬박,8
파도,8
사진작가,8
통로,8
실감,8
인지,8
시야,8
철로,8
직원,8
경험,8
값,8
검댕,8
거짓말,8
텅,8
그대로,8
소포,8
두려움,8
이의,8
진행,8
면도,8
벌레,8
죄,8
아홉시,8
라이터,8
여직원,8
지옥,8
바늘,8
플래시,8
파카,8
아부지,8
고백,8
장편소설,7
숲,7
정면,7
비난,7
풀이,7
동전,7
곤로,7
승객,7
영화,7
주기,7
탈,7
발파,7
장형,7
푼,7
팔뚝,7
번역,7
아르바이트,7
뒤편,7
옥탑방,7
철제,7
수도꼭지,7
금은,7
무표정,7
최선,7
웅덩이,7
토악질,7
잡지사,7
셋,7
뿌리,7
명의,7
열자,7
점포,7
자동차,7
입속,7
시멘트,7
대야,7
갈색,7
관찰,7
흠뻑,7
합,7
동사무소,7
사건,7
화제,7
진눈깨비,7
