단어,빈도수
이불,17
희망,17
했다는,17
예전,17
표,17
덩어리,17
점점,17
병,17
돌렸다,17
유리,17
기침,17
온몸,17
최,17
두꺼운,17
무덤,17
이기도,17
스웨터,17
바싹,17
놈,17
이었을,17
지나치게,17
조심,17
일행,17
터져,17
있다면,17
없었던,17
색,17
염려,17
무렵,17
말씨,17
댔다,17
가루,17
동작,17
의지,17
이상한,17
모,17
들을,16
당장,16
주,16
무대,16
갑작스럽게,16
읍,16
2,16
갖고,16
아들,16
싶다는,16
기를,16
현실,16
신,16
연락,16
탁자,16
육,16
낀,16
같던,16
느낌,16
행동,16
정확히,16
안경,16
크게,16
입가,16
예의,16
번호,16
언,16
빠른,16
입구,16
지고,16
-,16
들려왔다,16
태도,16
박물관,16
찍어,16
목욕,16
끼,16
아닌가,16
알몸,16
한마디,16
방금,16
),16
졌다,16
뻗어,16
텐데,16
차림,16
구멍,16
주민등록,16
당황,16
되면,16
겹,16
그렇지,16
생활,16
달라,16
흙,16
기자,16
했어요,16
고향,16
먹고,16
응시,16
갱,16
째,16
몸속,16
상자,16
윤아,16
그럼,16
기다렸다,16
아마,16
걸어갔다,16
원고,16
넋,15
우,15
너머,15
멀리,15
목덜미,15
안이,15
천,15
3,15
단지,15
부드러운,15
기다리고,15
자꾸만,15
얘기,15
이유,15
다는,15
되고,15
외,15
묻은,15
호주머니,15
옥상,15
웅크리고,15
눈앞,15
우는,15
중년,15
일제,15
매,15
계곡,15
창밖,15
잔뜩,15
광산,15
람,15
잡고,15
유일한,15
다가,15
몰아,15
인화지,15
차츰,15
금,15
운,15
굴,15
인화,15
냈다,15
앉았다,15
상대,15
이해,15
이면,15
어나,15
먹,15
바라보았다,15
재,15
윤,15
보다는,15
장지문,15
아니오,15
없다,15
아무렇지도,15
그건,15
에서부터,15
날카로운,15
먼지,15
밥,15
자세,15
후회,15
작,15
찍는,15
떠나,15
코트,15
있는지,15
빨리,15
물어,15
여름,15
있었으므로,14
일어나,14
더러,14
놓여,14
한강,14
기색,14
인적,14
누나,14
지나,14
했는데,14
늙은,14
배낭,14
내내,14
찍었다,14
암실,14
찬찬히,14
이후,14
